Model,Micro_F1_Disorder_Diag,Micro_F1_ASR_Diag,Micro_F1_Disorder_Type,Micro_F1_Symptom_Diag,Macro_F1_Disorder_Diag,Macro_F1_ASR_Diag,Macro_F1_Disorder_Type,Macro_F1_Symptom_Diag,Exact_Match_Disorder_Diag,Exact_Match_ASR_Diag,Exact_Match_Disorder_Type,Exact_Match_Symptom_Diag,WER,MER,WIP
gemini-2.0-flash-lite,0.454 ± 0.015,0.4590 ± 0.011,0.180 ± 0.012,0.373 ± 0.016,0.330 ± 0.010,0.3146 ± 0.012,0.174 ± 0.011,0.171 ± 0.024,0.454 ± 0.015,0.4590 ± 0.011,0.180 ± 0.012,0.373 ± 0.016,0.83 ± 0.016,0.723 ± 0.016,0.215 ± 0.016
gemini-2.0-flash,0.461 ± 0.014,0.4600 ± 0.013,0.298 ± 0.015,0.191 ± 0.013,0.322 ± 0.009,0.3151 ± 0.011,0.212 ± 0.011,0.079 ± 0.005,0.461 ± 0.014,0.4600 ± 0.013,0.298 ± 0.015,0.191 ± 0.013,0.931 ± 0.000,0.713 ± 0.000,0.227 ± 0.000
gpt-4o-mini-audio,0.117 ± 0.011,0.4838 ± 0.009,0.131 ± 0.011,0.352 ± 0.017,0.113 ± 0.009,0.3711 ± 0.008,0.122 ± 0.008,0.095 ± 0.005,0.117 ± 0.011,0.4838 ± 0.009,0.131 ± 0.011,0.352 ± 0.017,2.92 ± 0.066,0.744 ± 0.006,0.201 ± 0.006
gpt-4o-audio,0.458 ± 0.014,0.4590 ± 0.014,0.366 ± 0.015,0.538 ± 0.016,0.324 ± 0.005,0.3163 ± 0.015,0.207 ± 0.007,0.204 ± 0.009,0.458 ± 0.014,0.4590 ± 0.014,0.366 ± 0.015,0.538 ± 0.016,2.29 ± 0.117,0.69 ± 0.015,0.247 ± 0.015
gpt-4o-mini-transcribe,0.466 ± 0.018,0.4600 ± 0.012,0.365 ± 0.016,0.297 ± 0.016,0.344 ± 0.012,0.3168 ± 0.013,0.284 ± 0.015,0.202 ± 0.014,0.466 ± 0.018,0.4600 ± 0.012,0.365 ± 0.016,0.297 ± 0.016,1.61 ± 0.015,0.76 ± 0.015,0.186 ± 0.015
gpt-4o-transcribe,0.480 ± 0.017,0.4600 ± 0.011,0.381 ± 0.016,0.316 ± 0.015,0.373 ± 0.014,0.3202 ± 0.010,0.318 ± 0.017,0.201 ± 0.019,0.480 ± 0.017,0.4600 ± 0.011,0.381 ± 0.016,0.316 ± 0.015,1.267 ± 0.000,0.761 ± 0.000,0.192 ± 0.000
whisper-gpt4o,0.484 ± 0.015,0.4611 ± 0.015,0.399 ± 0.016,0.378 ± 0.016,0.391 ± 0.013,0.3190 ± 0.014,0.245 ± 0.013,0.222 ± 0.015,0.484 ± 0.015,0.4611 ± 0.015,0.399 ± 0.016,0.378 ± 0.016,2.668 ± 0.018,0.741 ± 0.015,0.182 ± 0.015
granite-speech-3.2-8b,0.004 ± 0.016,0.484 ± 0.016,0.028 ± 0.016,0.268 ± 0.016,0.004 ± 0.008,0.392 ± 0.014,0.016 ± 0.009,0.090 ± 0.009,0.004 ± 0.016,0.484 ± 0.016,0.028 ± 0.016,0.268 ± 0.015,2.535 ± 0.135,0.716 ± 0.012,0.161 ± 0.010
granite-speech-3.3-2b,0.000 ± 0.017,0.492 ± 0.017,0.000 ± 0.007,0.000 ± 0.003,0.000 ± 0.013,0.388 ± 0.014,0.000 ± 0.008,0.000 ± 0.003,0.000 ± 0.016,0.492 ± 0.016,0.000 ± 0.007,0.000 ± 0.003,2.564 ± 0.158,0.705 ± 0.014,0.075 ± 0.007
granite-speech-3.3-8b,0.000 ± 0.015,0.473 ± 0.017,0.000 ± 0.016,0.000 ± 0.009,0.000 ± 0.016,0.344 ± 0.011,0.000 ± 0.011,0.000 ± 0.011,0.000 ± 0.016,0.473 ± 0.017,0.000 ± 0.016,0.000 ± 0.009,5.094 ± 0.229,0.971 ± 0.004,0.022 ± 0.004
Phi-4-multimodal-instruct,0.552 ± 0.016,0.474 ± 0.016,0.318 ± 0.015,0.135 ± 0.011,0.535 ± 0.016,0.375 ± 0.014,0.163 ± 0.006,0.118 ± 0.010,0.552 ± 0.017,0.474 ± 0.016,0.318 ± 0.015,0.135 ± 0.011,2.288 ± 0.149,0.735 ± 0.012,0.221 ± 0.011
